,Name,Role,Status,Base_Price,Final_Price,Team
0,Arjun Tendulkar,Bowling Allrounder,SOLD,20.00  Lakh,20.00  Lakh,MI
1,Akash Singh,Bowler,SOLD,20.00  Lakh,20.00  Lakh,RR
2,Pawan Negi,Bowling Allrounder,SOLD,50.00  Lakh,50.00  Lakh,KKR
3,Venkatesh Iyer,Bowler,SOLD,20.00  Lakh,20.00  Lakh,KKR
4,Hanuma Vihari,Batting Allrounder,UNSOLD,1.00  Crore,-,
5,Jason Behrendorff,Bowler,UNSOLD,1.00  Crore,-,
6,Gurkeerat Singh Mann,Batsman,UNSOLD,50.00  Lakh,-,
7,Ben Cutting,Bowling Allrounder,SOLD,75.00  Lakh,75.00  Lakh,KKR
8,Rassie van der Dussen,Batsman,UNSOLD,50.00  Lakh,-,
9,Corey Anderson,Batting Allrounder,UNSOLD,75.00  Lakh,-,
10,Vishnu Solanki,WK-Batsman,UNSOLD,20.00  Lakh,-,
11,Hari Nishanth,Batsman,SOLD,20.00  Lakh,20.00  Lakh,CSK
12,Harbhajan Singh,Bowler,SOLD,2.00  Crore,2.00  Crore,KKR
13,Mujeeb Ur Rahman,Bowler,SOLD,1.50  Crore,1.50  Crore,SRH
14,Sam Billings,WK-Batsman,SOLD,2.00  Crore,2.00  Crore,DC
15,Kedar Jadhav,Batting Allrounder,SOLD,2.00  Crore,2.00  Crore,SRH
16,Karun Nair,Batsman,SOLD,50.00  Lakh,50.00  Lakh,KKR
17,Saurabh Kumar,Bowling Allrounder,SOLD,20.00  Lakh,20.00  Lakh,PBKS
18,Pratyush Singh,Bowler,UNSOLD,20.00  Lakh,-,
19,Marco Jansen,Bowling Allrounder,SOLD,20.00  Lakh,20.00  Lakh,MI
20,Tim David,Batsman,UNSOLD,20.00  Lakh,-,
21,Gerald Coetzee,Bowler,UNSOLD,20.00  Lakh,-,
22,Harsh Tyagi,Batting Allrounder,UNSOLD,20.00  Lakh,-,
23,Jack Wildermuth,Bowling Allrounder,UNSOLD,50.00  Lakh,-,
24,Bhagath Verma,Bowling Allrounder,SOLD,20.00  Lakh,20.00  Lakh,CSK
25,Ajay Dev Goud,Bowler,UNSOLD,20.00  Lakh,-,
26,Yudhvir Singh,Bowler,SOLD,20.00  Lakh,20.00  Lakh,MI
27,Chaitanya Bishnoi,Batting Allrounder,UNSOLD,20.00  Lakh,-,
28,George Linde,Batting Allrounder,UNSOLD,50.00  Lakh,-,
